season	episode	clip	text	label
S05	E16	329	用三齿扒在导线上绑好扎线,用扎线剪剪去多余扎线。	操作指引
S06	E06	589	拆开边相导线上的遮蔽罩，安装边相跌落保险上桩头引线。	操作指引
S06	E02	25	拆除绝缘遮蔽用具时，应保足够的安全距离。	风险提示
S05	E16	219	启动声光报警。	紧急处置
S05	E19	506	装好导线保险绳和旁路引流线，检查确定引流线连接牢固。	操作指引
S05	E10	325	确认周围无易燃易爆物品。	安全提示
S05	E08	428	禁止擅自更换或拆卸安全防护装置。	风险提示
S05	E12	358	禁止在带电区域随意摆放金属工具。	风险提示
S06	E07	601	在被作业的跌落保险器与其他带电体之间应安装隔离和遮蔽装置。	操作指引
S04	E17	434	立即停止机器人操作。	紧急处置
S05	E11	27	卸下临时绝缘横担，拆除接地构件的绝缘遮蔽用具。	操作指引
S05	E14	54	机器人进入待机模式，请人工确认安全环境。	协作分工
S05	E06	206	注意防止导线反弹，避免击伤作业人员。	风险提示
S04	E10	375	人工清除操作平台杂物，机器人准备起臂。	协作分工
S04	E08	105	全面中止现场作业。	紧急处置
S05	E08	418	注意保持防护隔离装置稳定，防止移位。	风险提示
S05	E08	149	人员请拆除辅助工装，机器人进行收尾操作。	协作分工
S04	E03	388	立刻断开旁路电源。	紧急处置
S06	E04	542	操作前请核实电源状态，避免误送电。	安全提示
S05	E12	32	全体人员立即撤离危险区。	紧急处置
S04	E09	486	注意保持干燥，避免电流通过人体。	风险提示
S05	E08	537	做好了与相邻相的各种绝缘隔离和遮蔽措施后，拆除避雷器下桩头接地线及旧避雷器。	操作指引
S05	E21	201	注意线夹受力情况，避免突然滑脱。	风险提示
S04	E16	494	进入安全模式。	紧急处置
S04	E13	472	请人工监测电流变化，机器人持续操作。	协作分工
S05	E08	337	对U型螺栓或其他接地构件进行绝缘遮蔽，并用绝缘夹或绝缘绳扎紧使不脱。	操作指引
S04	E03	84	禁止随意更换或调整带电作业防护接地线。	风险提示
S05	E16	27	停止绝缘子拆卸。	紧急处置
S05	E15	258	确认地线接触良好后再进行操作。	安全提示
S06	E05	74	注意控制语音指令，避免误操作机器人。	风险提示
S05	E06	229	确认操作口令无误后再下达执行指令。	安全提示
S05	E17	95	立刻关闭高压电源。	紧急处置
S05	E08	489	机器人启动绝缘检测，请人工确认读数。	协作分工
S05	E11	487	立即锁定设备开关。	紧急处置
S05	E07	189	执行动作前请确认周围无人靠近。	安全提示
S04	E07	301	由远至近拆除导线遮蔽罩和其他遮蔽装置。	操作指引
S05	E11	149	拆除边相导线资瓶绝缘毯子，将边相导线绑线拆除，将边相导线移至绝缘横担上固定好。	操作指引
S05	E13	15	禁止未佩戴绝缘防护装备进入作业区。	风险提示
S05	E21	16	套入的遮蔽罩的开口要翻向下方,并拉到靠近绝缘子的边缘处,用绝缘夹夹紧以防脱落。	操作指引
S05	E13	80	注意导线摆动，避免触碰带电部分。	风险提示
S04	E04	57	机器人进入锁定模式，请人工确认电源状态。	协作分工
S05	E07	34	人员与机器人保持可见通信信号。	安全提示
S04	E09	398	风雨天气等环境下作业需增加防护措施。	安全提示
S05	E07	603	解开绝缘子绑扎线，解开绑线时要注意保持导线在线槽内，将两端导线遮蔽罩拉在一起。	操作指引
S05	E08	126	作业过程中禁止人员跨越安全隔离区。	安全提示
S05	E18	328	人员请确认操作票信息，机器人开始对应任务。	协作分工
S05	E10	491	最小范围的移开导线遮蔽罩，采用绝缘引流线短接跌落保险及两端引线。	操作指引
S05	E11	256	启动备用保护装置。	紧急处置
S05	E11	93	由远至近依次撤除导线遮蔽罩，引线遮蔽罩,跌落保险遮蔽罩，接地物件遮蔽罩,绝缘隔板等。	操作指引
S04	E16	287	保持与机器人安全间距，避免意外碰撞。	安全提示
S06	E02	503	拆除中相导线上的遮蔽用具，松开绝缘横担上的中相导线固定夹。	操作指引
S05	E16	358	拆除避雷器下桩头接地线及旧避振伲蟥雷器，然后安装新避雷器及下桩头接地线。	操作指引
S05	E06	287	确认应急停机装置处于可用状态。	安全提示
S05	E09	182	注意随时监测环境变化，及时中止危险作业。	风险提示
S04	E03	387	请人工确认相别，机器人进行相位识别比对。	协作分工
S05	E08	100	人员请保持安全距离，机器人进行带电接触操作。	协作分工
S05	E17	555	利用断线钳将边相引线钳断，并将断头固定好，然后迅速恢复被拆除的绝缘遮蔽。	操作指引
S04	E06	155	马上断开控制回路。	紧急处置
S05	E08	17	人员请检查防护栏，机器人进入工作区域。	协作分工
S06	E09	229	使用绝缘隔板操作杆将绝缘隔板安装在中相针式绝缘子根部。	操作指引
S05	E06	386	检查设备接触点无过热。	安全提示
S05	E20	236	执行插拔操作前确认电压已降至安全范围。	安全提示
S05	E13	216	请人工检查导线张力，机器人执行辅助固定操作。	协作分工
S05	E07	556	检查绝缘支撑是否牢固。	安全提示
S06	E06	26	请人工验证接地连续性，机器人继续收尾。	协作分工
S05	E09	440	注意工具绝缘性，确保无损坏或潮湿。	安全提示
S06	E03	372	打开遮蔽罩，将高压引线端头展开送至避雷器的上桩头。	操作指引
S05	E09	428	操作间隔保持足够时间，避免过快切换。	安全提示
S04	E03	256	人员请辅助调整电缆弯曲角度，机器人完成固定。	协作分工
S06	E05	215	禁止同时接触未接通的或已断开的导线两个断头。	风险提示
S05	E14	493	打开旁路开关前，请先断开主电源。	操作指引
S05	E18	27	禁止非授权人员进入作业范围。	安全提示
S04	E08	91	移开欲修补位置的导线遮蔽罩,尽量小范围的露出带电导线,检查损坏情况。	操作指引
S04	E12	459	注意控制机器人臂展，防止碰触带电部分。	风险提示
S04	E17	151	拆除绝缘梯，清理现场。	操作指引
S06	E01	210	人员请确认电压等级，机器人开始切换开关。	协作分工
S05	E19	341	禁止同时使用多种未检测的绝缘工具。	风险提示
S05	E07	291	确认防护装备佩戴到位再进入作业区。	安全提示
S05	E11	449	请人工操作终端复核参数，机器人同步比对运行数据。	协作分工
S06	E10	420	分别拆除中相导线紧线器和保险绳,并对中相导线进行绝缘遮蔽。	操作指引
S06	E01	260	用绝缘操作杆按照从近至远的原则对作业范围内的所有带电部件安装遮蔽罩。	操作指引
S05	E20	274	请人工协助搬运避雷器，机器人完成安装。	协作分工
S05	E06	16	请人工辅助固定工件，机器人开始操作。	协作分工
S04	E11	508	作业完成后确认恢复原有防护措施。	安全提示
S06	E07	328	启动系统安全模式。	紧急处置
S04	E12	380	遇到突发情况立即发出口令停止。	安全提示
S05	E07	264	启动电弧防护系统。	紧急处置
S04	E07	112	注意保持与导体安全距离。	风险提示
S04	E01	211	人工在新绝缘子上绑好扎线，再传给机器人，机器人使用新绝缘子。	协作分工
S06	E05	536	确认备用防护工具随时可取。	安全提示
S05	E10	406	请人工移除旧设备，机器人进行新设备对接。	协作分工
S04	E06	75	注意高压设备，避免触电危险。	风险提示
S05	E08	217	立即报警并呼叫支援。	紧急处置
S05	E08	502	检查末端执行器是否牢固安装。	安全提示
S05	E06	12	对离身体最近的边相导线安装导线遮蔽罩，并拉到靠近绝缘子的边缘处，用绝缘夹夹紧防止脱落。	操作指引
S05	E14	207	停止全部带电操作。	紧急处置
S06	E02	252	保持操作姿势稳定，避免突然用力。	安全提示
S06	E07	455	检查作业路径是否存在障碍物。	安全提示
S04	E06	365	快速恢复至安全姿态。	紧急处置
S04	E14	273	立刻撤离作业区域。	紧急处置
S05	E20	265	请人工回收多余导线，机器人继续紧固操作。	协作分工
S05	E16	477	机器人退出作业区域，请人工确认安全。	协作分工
S06	E01	87	立即制止人工干预。	紧急处置
S04	E13	406	在高压区域保持单手操作，避免形成回路。	安全提示
S05	E09	522	马上关闭负荷开关。	紧急处置
S05	E08	525	注意观察电弧或异响，立即停止异常操作。	安全提示
S05	E14	161	停止机械臂动作。	紧急处置
S05	E07	297	立即切断电源。	紧急处置
S05	E06	94	人员请清理操作区域，机器人准备执行装置搬运。	协作分工
S05	E14	261	取下欲更换绝缘子的遮蔽置，解开绝缘子绑扎线。	操作指引
S05	E16	212	启动紧急通信通道。	紧急处置
S05	E02	65	取下边相绝缘子遮蔽，拆除绑扎线，拆除绑扎线时应边折边卷。	操作指引
S04	E17	350	注意监护人员信号，避免误操作。	风险提示
S06	E01	21	禁止在未确认断电的情况下操作设备。	风险提示
S04	E06	441	紧急断开电缆连接。	紧急处置
S04	E13	300	机器人伸臂至目标位置，请人工确认定位是否准确。	协作分工
S05	E11	505	机器人自动标记作业点，请人工确认标记准确。	协作分工
S04	E05	491	人工调整照明灯具，智能体完成规定作业。	协作分工
S05	E10	327	将中相导线固定在线杆中相瓷瓶上，导线固定好后，将瓷瓶和中相导线恢复绝缘遮蔽。	操作指引
S05	E12	327	启动绝缘屏障保护。	紧急处置